processo;dt_abertura;dt_faturamento;servico;vlr_faturamento;modal
3687/22;16/09/2022;02/01/2023;Agenciamento;2636,97;OCEANFREIGHT / FCL
4585/22;11/11/2022;02/01/2023;Agenciamento;1767,29;OCEANFREIGHT / LCL
4204/22;19/10/2022;03/01/2023;Agenciamento;1592,7;OCEANFREIGHT / LCL
4323/22;25/10/2022;03/01/2023;Agenciamento;1215,27;OCEANFREIGHT / FCL
3934/22;29/09/2022;03/01/2023;Desembaraço;1577;OCEANFREIGHT / FCL
4134/22;14/10/2022;03/01/2023;Desembaraço;1692;OCEANFREIGHT / FCL
4204/22;19/10/2022;03/01/2023;Desembaraço;1320;OCEANFREIGHT / LCL
4323/22;25/10/2022;03/01/2023;Desembaraço;1212;OCEANFREIGHT / FCL
4339/22;26/10/2022;03/01/2023;Desembaraço;1212;OCEANFREIGHT / FCL
3934/22;29/09/2022;03/01/2023;Seguro;810;OCEANFREIGHT / FCL
4134/22;14/10/2022;03/01/2023;Seguro;1737;OCEANFREIGHT / FCL
4323/22;25/10/2022;03/01/2023;Seguro;665;OCEANFREIGHT / FCL
4339/22;26/10/2022;03/01/2023;Seguro;278;OCEANFREIGHT / FCL
4134/22;14/10/2022;03/01/2023;Trading;15762;OCEANFREIGHT / FCL
5038/22;08/12/2022;03/01/2023;Trading;2424;AIRFREIGHT
3316/22;22/08/2022;04/01/2023;Agenciamento;4503,42;OCEANFREIGHT / FCL
4011/22;04/10/2022;04/01/2023;Agenciamento;3043,16;OCEANFREIGHT / FCL
4344/22;26/10/2022;04/01/2023;Agenciamento;3096,34;OCEANFREIGHT / FCL
4353/22;26/10/2022;04/01/2023;Agenciamento;2953,96;OCEANFREIGHT / FCL
4386/22;28/10/2022;04/01/2023;Agenciamento;5163,91;OCEANFREIGHT / FCL
1908/22;02/06/2022;04/01/2023;Desembaraço;1212;OCEANFREIGHT / LCL
35/23;04/01/2023;04/01/2023;Desembaraço;2640;
3514/22;05/09/2022;04/01/2023;Desembaraço;889;OCEANFREIGHT / FCL
4201/22;19/10/2022;04/01/2023;Desembaraço;817;OCEANFREIGHT / FCL
4280/22;21/10/2022;04/01/2023;Desembaraço;1320;OCEANFREIGHT / FCL
4386/22;28/10/2022;04/01/2023;Desembaraço;1320;OCEANFREIGHT / FCL
1908/22;02/06/2022;04/01/2023;Seguro;1450;OCEANFREIGHT / LCL
3364/22;23/08/2022;04/01/2023;Trading;67498;RODOVIARIO
4982/22;06/12/2022;04/01/2023;Trading;1212;OCEANFREIGHT / FCL
3797/22;23/09/2022;05/01/2023;Agenciamento;2481,24;OCEANFREIGHT / FCL
3798/22;23/09/2022;05/01/2023;Agenciamento;2119,31;OCEANFREIGHT / FCL
3808/22;26/09/2022;05/01/2023;Agenciamento;5377,8;OCEANFREIGHT / FCL
4347/22;26/10/2022;05/01/2023;Agenciamento;1471,97;OCEANFREIGHT / FCL
4348/22;26/10/2022;05/01/2023;Agenciamento;2414,66;OCEANFREIGHT / FCL
4488/22;03/11/2022;05/01/2023;Agenciamento;11065,14;OCEANFREIGHT / FCL
3287/22;18/08/2022;05/01/2023;Desembaraço;998;OCEANFREIGHT / FCL
3364/22;23/08/2022;05/01/2023;Desembaraço;2040;RODOVIARIO
3676/22;15/09/2022;05/01/2023;Desembaraço;2280;OCEANFREIGHT / FCL
3775/22;22/09/2022;05/01/2023;Desembaraço;1070;OCEANFREIGHT / LCL
3808/22;26/09/2022;05/01/2023;Desembaraço;1320;OCEANFREIGHT / FCL
3847/22;27/09/2022;05/01/2023;Desembaraço;726;RODOVIARIO
3861/22;27/09/2022;05/01/2023;Desembaraço;726;RODOVIARIO
3862/22;27/09/2022;05/01/2023;Desembaraço;726;RODOVIARIO
3865/22;27/09/2022;05/01/2023;Desembaraço;726;RODOVIARIO
4040/22;05/10/2022;05/01/2023;Desembaraço;726;RODOVIARIO
4055/22;07/10/2022;05/01/2023;Desembaraço;889;OCEANFREIGHT / FCL
4445/22;01/11/2022;05/01/2023;Desembaraço;2620;OCEANFREIGHT / FCL
5038/22;08/12/2022;05/01/2023;Desembaraço;1576;AIRFREIGHT
5200/22;20/12/2022;05/01/2023;Desembaraço;1188;OCEANFREIGHT / LCL
5225/22;21/12/2022;05/01/2023;Desembaraço;1090;RODOVIARIO
5228/22;21/12/2022;05/01/2023;Desembaraço;1820;AIRFREIGHT
3364/22;23/08/2022;05/01/2023;Seguro;1960;RODOVIARIO
3676/22;15/09/2022;05/01/2023;Seguro;1021;OCEANFREIGHT / FCL
3808/22;26/09/2022;05/01/2023;Seguro;268;OCEANFREIGHT / FCL
4445/22;01/11/2022;05/01/2023;Seguro;3031;OCEANFREIGHT / FCL
14/23;02/01/2023;05/01/2023;Trading;25440;OCEANFREIGHT / FCL
3287/22;18/08/2022;05/01/2023;Trading;998;OCEANFREIGHT / FCL
3593/22;09/09/2022;05/01/2023;Trading;19219;OCEANFREIGHT / FCL
3808/22;26/09/2022;05/01/2023;Trading;5679;OCEANFREIGHT / FCL
4520/22;07/11/2022;05/01/2023;Trading;9643;OCEANFREIGHT / FCL
2487/22;04/07/2022;06/01/2023;Desembaraço;1642;OCEANFREIGHT / FCL
3218/22;15/08/2022;06/01/2023;Desembaraço;1254;OCEANFREIGHT / FCL
3593/22;09/09/2022;06/01/2023;Desembaraço;1640;OCEANFREIGHT / FCL
3759/22;22/09/2022;06/01/2023;Desembaraço;1320;OCEANFREIGHT / FCL
3932/22;29/09/2022;06/01/2023;Desembaraço;1577;OCEANFREIGHT / FCL
3933/22;29/09/2022;06/01/2023;Desembaraço;1577;OCEANFREIGHT / FCL
4209/22;19/10/2022;06/01/2023;Desembaraço;1558;OCEANFREIGHT / FCL
4276/22;21/10/2022;06/01/2023;Desembaraço;970;OCEANFREIGHT / FCL
4506/22;04/11/2022;06/01/2023;Desembaraço;1320;OCEANFREIGHT / LCL
5171/22;19/12/2022;06/01/2023;Desembaraço;858;AIRFREIGHT
60/23;06/01/2023;06/01/2023;Desembaraço;2640;
2487/22;04/07/2022;06/01/2023;Seguro;848;OCEANFREIGHT / FCL
3593/22;09/09/2022;06/01/2023;Seguro;3733;OCEANFREIGHT / FCL
3932/22;29/09/2022;06/01/2023;Seguro;938;OCEANFREIGHT / FCL
3933/22;29/09/2022;06/01/2023;Seguro;907;OCEANFREIGHT / FCL
3769/22;22/09/2022;06/01/2023;Trading;5280;OCEANFREIGHT / FCL
4769/22;28/11/2022;06/01/2023;Trading;6635;OCEANFREIGHT / FCL
4094/22;11/10/2022;09/01/2023;Agenciamento;18769,86;OCEANFREIGHT / FCL
4236/22;20/10/2022;09/01/2023;Agenciamento;2392,03;OCEANFREIGHT / FCL
4527/22;08/11/2022;09/01/2023;Agenciamento;616,38;OCEANFREIGHT / LCL
3020/22;02/08/2022;09/01/2023;Desembaraço;1380;OCEANFREIGHT / FCL
3529/22;05/09/2022;09/01/2023;Desembaraço;2283;OCEANFREIGHT / FCL
3866/22;27/09/2022;09/01/2023;Desembaraço;726;RODOVIARIO
3867/22;27/09/2022;09/01/2023;Desembaraço;726;RODOVIARIO
4094/22;11/10/2022;09/01/2023;Desembaraço;1956;OCEANFREIGHT / FCL
4178/22;18/10/2022;09/01/2023;Desembaraço;848;OCEANFREIGHT / LCL
4304/22;24/10/2022;09/01/2023;Desembaraço;1592;OCEANFREIGHT / FCL
4393/22;31/10/2022;09/01/2023;Desembaraço;1656;OCEANFREIGHT / LCL
4407/22;31/10/2022;09/01/2023;Desembaraço;1212;AIRFREIGHT
4527/22;08/11/2022;09/01/2023;Desembaraço;1320;OCEANFREIGHT / LCL
4549/22;09/11/2022;09/01/2023;Desembaraço;1091;OCEANFREIGHT / LCL
4581/22;10/11/2022;09/01/2023;Desembaraço;1804;OCEANFREIGHT / FCL
4582/22;10/11/2022;09/01/2023;Desembaraço;1804;OCEANFREIGHT / FCL
3020/22;02/08/2022;09/01/2023;Seguro;1252;OCEANFREIGHT / FCL
4094/22;11/10/2022;09/01/2023;Seguro;1497;OCEANFREIGHT / FCL
4304/22;24/10/2022;09/01/2023;Seguro;574;OCEANFREIGHT / FCL
4407/22;31/10/2022;09/01/2023;Seguro;306;AIRFREIGHT
4226/22;20/10/2022;09/01/2023;Trading;40926;OCEANFREIGHT / FCL
4605/22;14/11/2022;09/01/2023;Trading;2843;OCEANFREIGHT / FCL
2768/22;19/07/2022;10/01/2023;Agenciamento;1491,94;OCEANFREIGHT / FCL
3214/22;15/08/2022;10/01/2023;Agenciamento;20381,45;OCEANFREIGHT / FCL
3769/22;22/09/2022;10/01/2023;Agenciamento;2844,85;OCEANFREIGHT / FCL
3772/22;22/09/2022;10/01/2023;Agenciamento;2874,56;OCEANFREIGHT / FCL
3796/22;23/09/2022;10/01/2023;Agenciamento;708,94;OCEANFREIGHT / FCL
3922/22;29/09/2022;10/01/2023;Agenciamento;3674,59;OCEANFREIGHT / FCL
3964/22;30/09/2022;10/01/2023;Agenciamento;2729,65;OCEANFREIGHT / FCL
4342/22;26/10/2022;10/01/2023;Agenciamento;3574,74;OCEANFREIGHT / FCL
4554/22;09/11/2022;10/01/2023;Agenciamento;5319,36;OCEANFREIGHT / FCL
14/23;02/01/2023;10/01/2023;Desembaraço;7900;OCEANFREIGHT / FCL
3214/22;15/08/2022;10/01/2023;Desembaraço;1818;OCEANFREIGHT / FCL
3769/22;22/09/2022;10/01/2023;Desembaraço;1700;OCEANFREIGHT / FCL
3772/22;22/09/2022;10/01/2023;Desembaraço;1212;OCEANFREIGHT / FCL
3796/22;23/09/2022;10/01/2023;Desembaraço;1492;OCEANFREIGHT / FCL
3922/22;29/09/2022;10/01/2023;Desembaraço;1492;OCEANFREIGHT / FCL
3964/22;30/09/2022;10/01/2023;Desembaraço;1492;OCEANFREIGHT / FCL
4226/22;20/10/2022;10/01/2023;Desembaraço;1188;OCEANFREIGHT / FCL
4444/22;01/11/2022;10/01/2023;Desembaraço;1207;AIRFREIGHT
4488/22;03/11/2022;10/01/2023;Desembaraço;2280;OCEANFREIGHT / FCL
4520/22;07/11/2022;10/01/2023;Desembaraço;1640;OCEANFREIGHT / FCL
4554/22;09/11/2022;10/01/2023;Desembaraço;1320;OCEANFREIGHT / FCL
4564/22;10/11/2022;10/01/2023;Desembaraço;1070;OCEANFREIGHT / LCL
4570/22;10/11/2022;10/01/2023;Desembaraço;1550;OCEANFREIGHT / FCL
4699/22;22/11/2022;10/01/2023;Desembaraço;1110;OCEANFREIGHT / FCL
4769/22;28/11/2022;10/01/2023;Desembaraço;1640;OCEANFREIGHT / FCL
5185/22;19/12/2022;10/01/2023;Desembaraço;1932;OCEANFREIGHT / FCL
5219/22;21/12/2022;10/01/2023;Desembaraço;1320;AIRFREIGHT
3214/22;15/08/2022;10/01/2023;Seguro;1868;OCEANFREIGHT / FCL
3772/22;22/09/2022;10/01/2023;Seguro;1391;OCEANFREIGHT / FCL
3796/22;23/09/2022;10/01/2023;Seguro;1395;OCEANFREIGHT / FCL
3922/22;29/09/2022;10/01/2023;Seguro;1035;OCEANFREIGHT / FCL
3964/22;30/09/2022;10/01/2023;Seguro;1210;OCEANFREIGHT / FCL
4226/22;20/10/2022;10/01/2023;Seguro;1542;OCEANFREIGHT / FCL
4444/22;01/11/2022;10/01/2023;Seguro;308;AIRFREIGHT
4488/22;03/11/2022;10/01/2023;Seguro;607;OCEANFREIGHT / FCL
4520/22;07/11/2022;10/01/2023;Seguro;1669;OCEANFREIGHT / FCL
4769/22;28/11/2022;10/01/2023;Seguro;1018;OCEANFREIGHT / FCL
5185/22;19/12/2022;10/01/2023;Seguro;1125;OCEANFREIGHT / FCL
5219/22;21/12/2022;10/01/2023;Seguro;280;AIRFREIGHT
3759/22;22/09/2022;10/01/2023;Trading;1980;OCEANFREIGHT / FCL
4407/22;31/10/2022;10/01/2023;Trading;2327;AIRFREIGHT
3186/22;12/08/2022;11/01/2023;Agenciamento;3902,06;OCEANFREIGHT / FCL
3810/22;26/09/2022;11/01/2023;Agenciamento;5479,28;OCEANFREIGHT / FCL
3881/22;27/09/2022;11/01/2023;Agenciamento;2058,26;OCEANFREIGHT / LCL
3965/22;30/09/2022;11/01/2023;Agenciamento;8106,06;OCEANFREIGHT / FCL
4156/22;17/10/2022;11/01/2023;Agenciamento;3226,06;OCEANFREIGHT / FCL
4331/22;26/10/2022;11/01/2023;Agenciamento;7917,81;OCEANFREIGHT / FCL
4915/22;05/12/2022;11/01/2023;Agenciamento;1000,42;OCEANFREIGHT / FCL
4969/22;06/12/2022;11/01/2023;Agenciamento;4829,43;OCEANFREIGHT / FCL
4970/22;06/12/2022;11/01/2023;Agenciamento;1651,01;OCEANFREIGHT / FCL
4971/22;06/12/2022;11/01/2023;Agenciamento;1651,01;OCEANFREIGHT / FCL
4972/22;06/12/2022;11/01/2023;Agenciamento;1651,01;OCEANFREIGHT / FCL
4973/22;06/12/2022;11/01/2023;Agenciamento;1651,01;OCEANFREIGHT / FCL
4974/22;06/12/2022;11/01/2023;Agenciamento;1651,01;OCEANFREIGHT / FCL
4975/22;06/12/2022;11/01/2023;Agenciamento;1651,01;OCEANFREIGHT / FCL
4976/22;06/12/2022;11/01/2023;Agenciamento;1651,01;OCEANFREIGHT / FCL
4977/22;06/12/2022;11/01/2023;Agenciamento;1651,01;OCEANFREIGHT / FCL
4978/22;06/12/2022;11/01/2023;Agenciamento;1651,01;OCEANFREIGHT / FCL
4980/22;06/12/2022;11/01/2023;Agenciamento;1651,01;OCEANFREIGHT / FCL
4981/22;06/12/2022;11/01/2023;Agenciamento;1651,01;OCEANFREIGHT / FCL
IM0340-22;01/12/2022;11/01/2023;Agenciamento;1310,39;OCEANFREIGHT
IM0341-22;01/12/2022;11/01/2023;Agenciamento;1909,05;OCEANFREIGHT
1/23;02/01/2023;11/01/2023;Desembaraço;924;RODOVIARIO
3220/22;15/08/2022;11/01/2023;Desembaraço;909;OCEANFREIGHT / LCL
3221/22;15/08/2022;11/01/2023;Desembaraço;909;OCEANFREIGHT / FCL
3523/22;05/09/2022;11/01/2023;Desembaraço;1568;OCEANFREIGHT / LCL
3965/22;30/09/2022;11/01/2023;Desembaraço;1600;OCEANFREIGHT / FCL
4156/22;17/10/2022;11/01/2023;Desembaraço;998;OCEANFREIGHT / FCL
4161/22;17/10/2022;11/01/2023;Desembaraço;998;OCEANFREIGHT / FCL
5270/22;23/12/2022;11/01/2023;Desembaraço;924;AIRFREIGHT
5310/22;30/12/2022;11/01/2023;Desembaraço;1270;AIRFREIGHT
3965/22;30/09/2022;11/01/2023;Seguro;1075;OCEANFREIGHT / FCL
4156/22;17/10/2022;11/01/2023;Trading;998;OCEANFREIGHT / FCL
4488/22;03/11/2022;11/01/2023;Trading;14041;OCEANFREIGHT / FCL
5185/22;19/12/2022;11/01/2023;Trading;13616;OCEANFREIGHT / FCL
3242/22;17/08/2022;12/01/2023;Agenciamento;1848,98;OCEANFREIGHT / FCL
3657/22;14/09/2022;12/01/2023;Agenciamento;7822,31;OCEANFREIGHT / FCL
4188/22;19/10/2022;12/01/2023;Agenciamento;1924,58;OCEANFREIGHT / FCL
4357/22;27/10/2022;12/01/2023;Agenciamento;2302,01;OCEANFREIGHT / FCL
4421/22;31/10/2022;12/01/2023;Agenciamento;4251,69;OCEANFREIGHT / FCL
4435/22;31/10/2022;12/01/2023;Agenciamento;1713,17;OCEANFREIGHT / LCL
4663/22;18/11/2022;12/01/2023;Agenciamento;690,21;OCEANFREIGHT / FCL
IA0121-22;28/12/2022;12/01/2023;Agenciamento;3732,17;AIRFREIGHT
IM0228-22;21/10/2022;12/01/2023;Agenciamento;2563,37;OCEANFREIGHT
2949/22;27/07/2022;12/01/2023;Desembaraço;1320;OCEANFREIGHT / FCL
2975/22;29/07/2022;12/01/2023;Desembaraço;1212;OCEANFREIGHT / FCL
2976/22;29/07/2022;12/01/2023;Desembaraço;1212;OCEANFREIGHT / FCL
3242/22;17/08/2022;12/01/2023;Desembaraço;1212;OCEANFREIGHT / FCL
3400/22;26/08/2022;12/01/2023;Desembaraço;1620;OCEANFREIGHT / FCL
3417/22;29/08/2022;12/01/2023;Desembaraço;1212;OCEANFREIGHT / FCL
3657/22;14/09/2022;12/01/2023;Desembaraço;2501;OCEANFREIGHT / FCL
3798/22;23/09/2022;12/01/2023;Desembaraço;990;OCEANFREIGHT / FCL
4188/22;19/10/2022;12/01/2023;Desembaraço;998;OCEANFREIGHT / FCL
4421/22;31/10/2022;12/01/2023;Desembaraço;1832;OCEANFREIGHT / FCL
4663/22;18/11/2022;12/01/2023;Desembaraço;1320;OCEANFREIGHT / FCL
4826/22;29/11/2022;12/01/2023;Desembaraço;1110;AIRFREIGHT
5156/22;16/12/2022;12/01/2023;Desembaraço;1170;AIRFREIGHT
82/23;09/01/2023;12/01/2023;Desembaraço;1188;OCEANFREIGHT / FCL
3400/22;26/08/2022;12/01/2023;Seguro;1660;OCEANFREIGHT / FCL
3417/22;29/08/2022;12/01/2023;Seguro;1783;OCEANFREIGHT / FCL
3657/22;14/09/2022;12/01/2023;Seguro;784;OCEANFREIGHT / FCL
4421/22;31/10/2022;12/01/2023;Seguro;678;OCEANFREIGHT / FCL
4826/22;29/11/2022;12/01/2023;Seguro;309;AIRFREIGHT
62/23;06/01/2023;12/01/2023;Trading;3483;OCEANFREIGHT / FCL
4095/22;11/10/2022;13/01/2023;Agenciamento;2433,47;OCEANFREIGHT / LCL
4186/22;19/10/2022;13/01/2023;Agenciamento;2131,32;OCEANFREIGHT / FCL
4329/22;26/10/2022;13/01/2023;Agenciamento;5633,62;OCEANFREIGHT / FCL
4489/22;03/11/2022;13/01/2023;Agenciamento;732,96;OCEANFREIGHT / LCL
4605/22;14/11/2022;13/01/2023;Agenciamento;2314,44;OCEANFREIGHT / FCL
4731/22;24/11/2022;13/01/2023;Agenciamento;1393,5;OCEANFREIGHT / FCL
4998/22;07/12/2022;13/01/2023;Agenciamento;2453,24;OCEANFREIGHT / FCL
100/23;11/01/2023;13/01/2023;Desembaraço;708;AIRFREIGHT
1877/22;31/05/2022;13/01/2023;Desembaraço;1212;OCEANFREIGHT / LCL
3668/22;14/09/2022;13/01/2023;Desembaraço;1386;OCEANFREIGHT / FCL
3797/22;23/09/2022;13/01/2023;Desembaraço;990;OCEANFREIGHT / FCL
3850/22;27/09/2022;13/01/2023;Desembaraço;726;RODOVIARIO
3851/22;27/09/2022;13/01/2023;Desembaraço;726;RODOVIARIO
3868/22;27/09/2022;13/01/2023;Desembaraço;726;RODOVIARIO
3869/22;27/09/2022;13/01/2023;Desembaraço;726;RODOVIARIO
3870/22;27/09/2022;13/01/2023;Desembaraço;726;RODOVIARIO
3890/22;28/09/2022;13/01/2023;Desembaraço;1550;OCEANFREIGHT / LCL
4035/22;05/10/2022;13/01/2023;Desembaraço;726;RODOVIARIO
4045/22;06/10/2022;13/01/2023;Desembaraço;2180;OCEANFREIGHT / FCL
4054/22;06/10/2022;13/01/2023;Desembaraço;1019;OCEANFREIGHT / FCL
4095/22;11/10/2022;13/01/2023;Desembaraço;1764;OCEANFREIGHT / LCL
4141/22;15/10/2022;13/01/2023;Desembaraço;1804;OCEANFREIGHT / FCL
4186/22;19/10/2022;13/01/2023;Desembaraço;998;OCEANFREIGHT / FCL
4331/22;26/10/2022;13/01/2023;Desembaraço;2268;OCEANFREIGHT / FCL
4489/22;03/11/2022;13/01/2023;Desembaraço;1320;OCEANFREIGHT / LCL
4605/22;14/11/2022;13/01/2023;Desembaraço;1320;OCEANFREIGHT / FCL
4715/22;22/11/2022;13/01/2023;Desembaraço;1804;OCEANFREIGHT / FCL
4731/22;24/11/2022;13/01/2023;Desembaraço;1320;OCEANFREIGHT / FCL
4779/22;28/11/2022;13/01/2023;Desembaraço;1804;OCEANFREIGHT / FCL
4844/22;30/11/2022;13/01/2023;Desembaraço;994;OCEANFREIGHT / FCL
4998/22;07/12/2022;13/01/2023;Desembaraço;1320;OCEANFREIGHT / FCL
5108/22;14/12/2022;13/01/2023;Desembaraço;1254;OCEANFREIGHT / FCL
5113/22;14/12/2022;13/01/2023;Desembaraço;1122;OCEANFREIGHT / FCL
87/23;10/01/2023;13/01/2023;Desembaraço;1176;RODOVIARIO
1877/22;31/05/2022;13/01/2023;Seguro;1588;OCEANFREIGHT / LCL
3668/22;14/09/2022;13/01/2023;Seguro;251;OCEANFREIGHT / FCL
4054/22;06/10/2022;13/01/2023;Seguro;1907;OCEANFREIGHT / FCL
4095/22;11/10/2022;13/01/2023;Seguro;289;OCEANFREIGHT / LCL
4331/22;26/10/2022;13/01/2023;Seguro;737;OCEANFREIGHT / FCL
4605/22;14/11/2022;13/01/2023;Seguro;557;OCEANFREIGHT / FCL
4054/22;06/10/2022;13/01/2023;Trading;5914;OCEANFREIGHT / FCL
4421/22;31/10/2022;13/01/2023;Trading;5374;OCEANFREIGHT / FCL
5219/22;21/12/2022;13/01/2023;Trading;1320;AIRFREIGHT
5310/22;30/12/2022;13/01/2023;Trading;2924;AIRFREIGHT
3911/22;29/09/2022;15/01/2023;Agenciamento;2600,31;OCEANFREIGHT / FCL
3913/22;29/09/2022;15/01/2023;Agenciamento;14680,92;OCEANFREIGHT / FCL
4170/22;18/10/2022;15/01/2023;Agenciamento;5508,7;OCEANFREIGHT / FCL
4171/22;18/10/2022;15/01/2023;Agenciamento;5570,74;OCEANFREIGHT / FCL
4210/22;19/10/2022;15/01/2023;Agenciamento;1032,99;OCEANFREIGHT / LCL
IM0008-23;15/01/2023;15/01/2023;Agenciamento;1279,54;OCEANFREIGHT
IM0487-22;15/01/2023;15/01/2023;Agenciamento;2298,85;OCEANFREIGHT / FCL
3377/22;25/08/2022;16/01/2023;Agenciamento;2726,55;OCEANFREIGHT / LCL
3400/22;26/08/2022;16/01/2023;Agenciamento;11183,53;OCEANFREIGHT / FCL
3433/22;30/08/2022;16/01/2023;Agenciamento;6467,4;OCEANFREIGHT / FCL
4192/22;19/10/2022;16/01/2023;Agenciamento;1924,58;OCEANFREIGHT / FCL
3342/22;23/08/2022;16/01/2023;Desembaraço;893;OCEANFREIGHT / FCL
3377/22;25/08/2022;16/01/2023;Desembaraço;1818;OCEANFREIGHT / LCL
3433/22;30/08/2022;16/01/2023;Desembaraço;1735;OCEANFREIGHT / FCL
3773/22;22/09/2022;16/01/2023;Desembaraço;1628;OCEANFREIGHT / FCL
3848/22;27/09/2022;16/01/2023;Desembaraço;726;RODOVIARIO
3849/22;27/09/2022;16/01/2023;Desembaraço;726;RODOVIARIO
4192/22;19/10/2022;16/01/2023;Desembaraço;998;OCEANFREIGHT / FCL
4482/22;02/11/2022;16/01/2023;Desembaraço;974;OCEANFREIGHT / FCL
4863/22;01/12/2022;16/01/2023;Desembaraço;1640;OCEANFREIGHT / FCL
62/23;06/01/2023;16/01/2023;Desembaraço;3412;OCEANFREIGHT / FCL
3377/22;25/08/2022;16/01/2023;Seguro;418;OCEANFREIGHT / LCL
3433/22;30/08/2022;16/01/2023;Seguro;1393;OCEANFREIGHT / FCL
4863/22;01/12/2022;16/01/2023;Seguro;1001;OCEANFREIGHT / FCL
4741/22;24/11/2022;16/01/2023;Trading;6799;OCEANFREIGHT / FCL
4863/22;01/12/2022;16/01/2023;Trading;6499;OCEANFREIGHT / FCL
5064/22;12/12/2022;16/01/2023;Trading;1302;AIRFREIGHT
2416/22;30/06/2022;17/01/2023;Agenciamento;1528,5;OCEANFREIGHT / FCL
2423/22;30/06/2022;17/01/2023;Agenciamento;3691,72;OCEANFREIGHT / FCL
3999/22;03/10/2022;17/01/2023;Agenciamento;1669,55;OCEANFREIGHT / LCL
4254/22;20/10/2022;17/01/2023;Agenciamento;8679,27;OCEANFREIGHT / FCL
4638/22;17/11/2022;17/01/2023;Agenciamento;878,44;OCEANFREIGHT / LCL
5148/22;15/12/2022;17/01/2023;Agenciamento;3275,33;OCEANFREIGHT / FCL
5149/22;15/12/2022;17/01/2023;Agenciamento;1447,25;OCEANFREIGHT / FCL
5150/22;15/12/2022;17/01/2023;Agenciamento;1447,25;OCEANFREIGHT / FCL
5151/22;15/12/2022;17/01/2023;Agenciamento;1447,25;OCEANFREIGHT / FCL
5152/22;15/12/2022;17/01/2023;Agenciamento;1447,25;OCEANFREIGHT / FCL
5153/22;15/12/2022;17/01/2023;Agenciamento;1447,25;OCEANFREIGHT / FCL
5154/22;15/12/2022;17/01/2023;Agenciamento;1447,22;OCEANFREIGHT / FCL
IM0122-22;28/09/2022;17/01/2023;Agenciamento;2000,71;OCEANFREIGHT
IM0311-22;18/11/2022;17/01/2023;Agenciamento;3829,17;OCEANFREIGHT
137/22;17/01/2022;17/01/2023;Desembaraço;1562;OCEANFREIGHT / FCL
1958/22;06/06/2022;17/01/2023;Desembaraço;1636;OCEANFREIGHT / FCL
2416/22;30/06/2022;17/01/2023;Desembaraço;1133;OCEANFREIGHT / FCL
2423/22;30/06/2022;17/01/2023;Desembaraço;1133;OCEANFREIGHT / FCL
2977/22;29/07/2022;17/01/2023;Desembaraço;1320;OCEANFREIGHT / FCL
3363/22;23/08/2022;17/01/2023;Desembaraço;2013;RODOVIARIO
3634/22;13/09/2022;17/01/2023;Desembaraço;1766;OCEANFREIGHT / LCL
3915/22;29/09/2022;17/01/2023;Desembaraço;1882;OCEANFREIGHT / FCL
4254/22;20/10/2022;17/01/2023;Desembaraço;1682;OCEANFREIGHT / FCL
4273/22;21/10/2022;17/01/2023;Desembaraço;1268;OCEANFREIGHT / FCL
4303/22;24/10/2022;17/01/2023;Desembaraço;1682;OCEANFREIGHT / FCL
4357/22;27/10/2022;17/01/2023;Desembaraço;1672;OCEANFREIGHT / FCL
4365/22;27/10/2022;17/01/2023;Desembaraço;1739;OCEANFREIGHT / FCL
4431/22;31/10/2022;17/01/2023;Desembaraço;1022;RODOVIARIO
4541/22;08/11/2022;17/01/2023;Desembaraço;1295;OCEANFREIGHT / LCL
4638/22;17/11/2022;17/01/2023;Desembaraço;1302;OCEANFREIGHT / LCL
5064/22;12/12/2022;17/01/2023;Desembaraço;1207;AIRFREIGHT
52/23;06/01/2023;17/01/2023;Desembaraço;998;RODOVIARIO
53/23;06/01/2023;17/01/2023;Desembaraço;998;RODOVIARIO
54/23;06/01/2023;17/01/2023;Desembaraço;998;RODOVIARIO
1958/22;06/06/2022;17/01/2023;Seguro;596;OCEANFREIGHT / FCL
3363/22;23/08/2022;17/01/2023;Seguro;1600;RODOVIARIO
3915/22;29/09/2022;17/01/2023;Seguro;468;OCEANFREIGHT / FCL
4254/22;20/10/2022;17/01/2023;Seguro;1689;OCEANFREIGHT / FCL
4303/22;24/10/2022;17/01/2023;Seguro;802;OCEANFREIGHT / FCL
4357/22;27/10/2022;17/01/2023;Seguro;3200;OCEANFREIGHT / FCL
4365/22;27/10/2022;17/01/2023;Seguro;835;OCEANFREIGHT / FCL
185/23;17/01/2023;17/01/2023;Trading;998;RODOVIARIO
3214/22;15/08/2022;17/01/2023;Trading;29207;OCEANFREIGHT / FCL
3363/22;23/08/2022;17/01/2023;Trading;68731;RODOVIARIO
3773/22;22/09/2022;17/01/2023;Trading;1302;OCEANFREIGHT / FCL
4365/22;27/10/2022;17/01/2023;Trading;1302;OCEANFREIGHT / FCL
5020/22;07/12/2022;18/01/2023;Agenciamento;1130,37;AIRFREIGHT
119/23;12/01/2023;18/01/2023;Desembaraço;1164;OCEANFREIGHT / FCL
145/23;13/01/2023;18/01/2023;Desembaraço;1172;OCEANFREIGHT / LCL
34/23;04/01/2023;18/01/2023;Desembaraço;911;AIRFREIGHT
3852/22;27/09/2022;18/01/2023;Desembaraço;716;RODOVIARIO
3863/22;27/09/2022;18/01/2023;Desembaraço;716;RODOVIARIO
3871/22;27/09/2022;18/01/2023;Desembaraço;716;RODOVIARIO
